wi_sample	seq_sample	total_sites	concordant	discordant	concordance_rate
PE887	AF16	2453	1434	1019	0.584590297594782
PE887	BRC20232	3002	1351	1651	0.450033311125916
PE887	ECA1657	3952	2487	1465	0.629301619433198
PE887	ECA2115	1130	679	451	0.600884955752212
PE887	ECA2299	1220	504	716	0.413114754098361
PE887	ECA2667	1722	1093	629	0.63472706155633
PE887	EG6260	2796	1408	1388	0.503576537911302
PE887	EG6267	1906	813	1093	0.426547743966422
PE887	EG6271	2515	889	1626	0.353479125248509
PE887	JU1346	868	418	450	0.481566820276498
PE887	JU1348	1442	664	778	0.460471567267684
PE887	JU2472	4424	2702	1722	0.610759493670886
PE887	NIC1052	2168	770	1398	0.355166051660517
PE887	NIC1645	2760	1256	1504	0.455072463768116
PE887	NIC1667	2397	1096	1301	0.45723821443471
PE887	NIC827	1470	587	883	0.399319727891156
PE887	NIC828	1482	630	852	0.425101214574899
PE887	PE887	2613	2602	11	0.995790279372369
PE887	QG2908	1676	787	889	0.469570405727924
PE887	QG4097	3059	1629	1430	0.532526969597908
PE887	QG4233	2237	1042	1195	0.465802413947251
PE887	QX1410	4420	2	4418	0.000452488687782805
PE887	VT847	995	601	394	0.604020100502513
QG2908	AF16	19671	1264	18407	0.0642570281124498
QG2908	BRC20232	24323	9286	15037	0.381778563499568
QG2908	ECA1657	29699	2051	27648	0.0690595642950941
QG2908	ECA2115	9377	631	8746	0.067292310973659
QG2908	ECA2299	10234	3248	6986	0.317373461012312
QG2908	ECA2667	15063	948	14115	0.0629356701852221
QG2908	EG6260	21106	1169	19937	0.0553870937174263
QG2908	EG6267	15023	788	14235	0.0524529055448313
QG2908	EG6271	18385	1147	17238	0.0623878161544738
QG2908	JU1346	8491	693	7798	0.0816158285243199
QG2908	JU1348	20802	18866	1936	0.906932025766753
QG2908	JU2472	32163	2304	29859	0.0716351086652365
QG2908	NIC1052	16519	1849	14670	0.111931714994854
QG2908	NIC1645	22474	8805	13669	0.391786063896058
QG2908	NIC1667	21048	8289	12759	0.393814139110604
QG2908	NIC827	11625	4293	7332	0.369290322580645
QG2908	NIC828	11892	4125	7767	0.346871846619576
QG2908	PE887	20829	1008	19821	0.0483940659657209
QG2908	QG2908	24388	24321	67	0.997252747252747
QG2908	QG4097	23429	1242	22187	0.0530112254044133
QG2908	QG4233	32683	31374	1309	0.959948597130006
QG2908	QX1410	26799	39	26760	0.00145527818202172
QG2908	VT847	8086	469	7617	0.0580014840465001
QG4097	AF16	19586	1269	18317	0.064791177371592
QG4097	BRC20232	24205	9266	14939	0.382813468291675
QG4097	ECA1657	29641	2056	27585	0.0693633818022334
QG4097	ECA2115	9299	635	8664	0.0682869125712442
QG4097	ECA2299	10254	3269	6985	0.318802418568364
QG4097	ECA2667	14937	942	13995	0.0630648724643503
QG4097	EG6260	20990	1146	19844	0.0545974273463554
QG4097	EG6267	14924	803	14121	0.0538059501474136
QG4097	EG6271	18354	1185	17169	0.064563582870219
QG4097	JU1346	8356	687	7669	0.0822163714696027
QG4097	JU1348	20612	18711	1901	0.907772171550553
QG4097	JU2472	32086	2306	29780	0.071869351118868
QG4097	NIC1052	16472	1881	14591	0.114193783389995
QG4097	NIC1645	22439	8828	13611	0.393422166763225
QG4097	NIC1667	21037	8312	12725	0.395113371678471
QG4097	NIC827	11506	4256	7250	0.369893968364332
QG4097	NIC828	11850	4106	7744	0.346497890295359
QG4097	PE887	20785	1010	19775	0.0485927351455377
QG4097	QG2908	21820	20759	1061	0.951374885426215
QG4097	QG4097	23427	1240	22187	0.0529303794766722
QG4097	QG4233	35067	34839	228	0.993498160663872
QG4097	QX1410	26776	40	26736	0.00149387511204063
QG4097	VT847	8041	481	7560	0.0598184305434647
QG4233	AF16	19947	1254	18693	0.0628665964806738
QG4233	BRC20232	24596	9234	15362	0.375426898682713
QG4233	ECA1657	30181	2067	28114	0.0684867963288161
QG4233	ECA2115	9481	632	8849	0.0666596350595929
QG4233	ECA2299	10460	3264	7196	0.312045889101338
QG4233	ECA2667	15259	951	14308	0.0623238744347598
QG4233	EG6260	21416	1141	20275	0.0532779230481883
QG4233	EG6267	15274	785	14489	0.051394526646589
QG4233	EG6271	18791	1162	17629	0.0618381139907403
